2025-09-26T10:54:31.212Z | unknown | LOGIN_FAILED | Invalid password for: admin | ip=172.31.76.66
2025-09-26T10:55:30.712Z | unknown | LOGIN_FAILED | Invalid student ID: student | ip=172.31.76.66
2025-09-26T10:55:53.362Z | unknown | LOGIN_FAILED | Invalid password for: admin | ip=172.31.76.66
2025-09-26T10:55:55.369Z | unknown | LOGIN_FAILED | Invalid password for: admin | ip=172.31.76.66
2025-09-26T10:56:03.183Z | unknown | LOGIN_FAILED | Invalid password for: admin | ip=172.31.76.66
2025-09-26T10:56:40.884Z | 22-00376 | SIGNUP_SUCCESS | Student registered: 22-00376 | ip=172.31.76.66
2025-09-26T11:06:19.132Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:19:35.553Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:20:26.658Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:23:55.008Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:27:58.463Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:32:41.287Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:34:21.964Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:42:04.871Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:42:47.361Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=172.31.76.66
2025-09-26T11:52:25.857Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T11:55:19.109Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T11:55:21.084Z | 22-00376 | LOGOUT | User logged out: 22-00376 | ip=127.0.0.1
2025-09-26T11:55:32.557Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T11:59:37.156Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T12:06:28.279Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T12:06:40.780Z | 22-00376 | CAST_VOTE | Vote cast in election: election_engineering2025 | ip=127.0.0.1
2025-09-26T12:19:51.039Z | 22-00376 | LOGIN_SUCCESS | User logged in: 22-00376 | ip=127.0.0.1
2025-09-26T12:20:01.828Z | 22-00376 | CAST_VOTE | Vote cast in election: election_leadership2025 | ip=127.0.0.1
2025-09-26T12:22:57.808Z | 22-00375 | SIGNUP_SUCCESS | Student registered: 22-00375 | ip=127.0.0.1
